['21:22:41.025]', 3832]

['21:24:42.381]', 3831]

['21:26:43.280]', 3832]

['21:28:44.580]', 3832]

['21:34:47.612]', 3832]

['21:36:48.813]', 3831]

['21:38:49.413]', 3832]

['21:40:50.362]', 3831]

['21:43:52.066]', 3830]

['21:45:53.342]', 3830]

['21:47:54.331]', 3831]

['21:49:55.376]', 3831]

['21:51:56.920]', 3832]

['21:53:57.696]', 3826]

['21:55:59.042]', 3831]

['21:58:00.060]', 3831]

['22:00:00.585]', 3831]

['22:02:01.623]', 3830]

['22:04:03.034]', 3829]

['22:06:04.317]', 3829]

['22:08:05.278]', 3829]

['22:10:05.827]', 3830]

['22:12:06.929]', 3830]

['22:14:08.149]', 3830]

['22:16:09.144]', 3830]

['22:19:11.433]', 3829]

['22:22:12.371]', 3830]

['22:25:13.960]', 3824]

['22:27:14.606]', 3829]

['22:29:15.671]', 3829]

['22:32:17.634]', 3828]

['22:40:22.153]', 3827]

['22:42:23.322]', 3829]

['22:56:29.585]', 3826]

['22:58:30.897]', 3827]

['23:00:32.417]', 3828]

['23:02:33.731]', 3827]

['23:05:34.767]', 3826]

['23:11:37.758]', 3824]

['23:13:38.741]', 3825]

['23:15:39.319]', 3825]

['23:21:42.138]', 3825]

['23:23:43.480]', 3825]

['23:25:44.396]', 3824]

['23:27:45.387]', 3825]

['23:30:46.983]', 3823]

['23:32:47.904]', 3823]

['23:34:48.732]', 3822]

['23:36:49.882]', 3823]

['23:38:51.066]', 3823]

